"Agumbe"
"Aihole"
"Annigeri"
"Badami"
"Bagalkot"
"Bangalore"
"Bangarapet"
"Belgaum"
"Bellary"
"Bhadravathi"
"Bhatkal"
"Bidar"
"Bijapur"
"Chikmagalur"
"Chincholi"
"Chitradurga"
"Coorg"
"Dandeli"
"Davangere"
"Dharwad"
"Gangavathi"
"Gulbarga"
"Halebid"
"Hampi"
"Hassan"
"Hospet"
"Hubli"
"Hunsur"
"Karwar"
"Kolar"
"Kudremukh"
"Kundapura"
"Kushalnagar"
"Madikeri"
"Malpe"
"Mandya"
"Mangalore"
"Manipal"
"Mysore"
"Pattadakkal"
"Puttur"
"Raichur"
"Ramanagara"
"Shimoga"
"Sirsi"
"Somwarpet"
"Srirangapatna"
"Sullia"
"Tumkur"
"Udupi"

